,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240.0,240.0,36.0,66.0,0.545,10.0,17.0,0.588,26.0,29.0,0.897,8.0,30.0,38.0,24.0,4.0,9.0,17.0,25.0,108.0,,0.686,0.621,0.258,0.439,28.6,68.2,52.8,66.7,4.6,13.2,17.8,100.0,124.5,103.8,,,9.0,10.0,0.9,5.0,6.0,0.833,10.0,10.0,1.0,3.0,9.0,12.0,9.0,1.0,3.0,5.0,5.0,27.0,20.0,1.007,0.944,0.667,1.5,17.4,52.4,32.0,64.0,2.6,33.9,100.0,26.2,195.0,113.0,BOS,108,0,1,240.0,240.0,32.0,79.0,0.405,2.0,11.0,0.182,24.0,35.0,0.686,14.0,20.0,34.0,13.0,6.0,6.0,11.0,22.0,90.0,,0.477,0.418,0.139,0.443,31.8,71.4,47.2,40.6,6.9,12.2,10.4,100.0,103.8,124.5,,,6.0,13.0,1.0,2.0,5.0,0.667,4.0,8.0,1.0,3.0,7.0,8.0,5.0,2.0,2.0,2.0,4.0,16.0,13.0,0.906,1.0,0.417,4.0,17.2,43.5,19.3,33.4,4.4,8.9,31.6,34.8,193.0,133.0,CHA,90,1,2010,2009-12-01,True
1,240.0,240.0,32.0,79.0,0.405,2.0,11.0,0.182,24.0,35.0,0.686,14.0,20.0,34.0,13.0,6.0,6.0,11.0,22.0,90.0,,0.477,0.418,0.139,0.443,31.8,71.4,47.2,40.6,6.9,12.2,10.4,100.0,103.8,124.5,,,6.0,13.0,1.0,2.0,5.0,0.667,4.0,8.0,1.0,3.0,7.0,8.0,5.0,2.0,2.0,2.0,4.0,16.0,13.0,0.906,1.0,0.417,4.0,17.2,43.5,19.3,33.4,4.4,8.9,31.6,34.8,193.0,133.0,CHA,90,1,0,240.0,240.0,36.0,66.0,0.545,10.0,17.0,0.588,26.0,29.0,0.897,8.0,30.0,38.0,24.0,4.0,9.0,17.0,25.0,108.0,,0.686,0.621,0.258,0.439,28.6,68.2,52.8,66.7,4.6,13.2,17.8,100.0,124.5,103.8,,,9.0,10.0,0.9,5.0,6.0,0.833,10.0,10.0,1.0,3.0,9.0,12.0,9.0,1.0,3.0,5.0,5.0,27.0,20.0,1.007,0.944,0.667,1.5,17.4,52.4,32.0,64.0,2.6,33.9,100.0,26.2,195.0,113.0,BOS,108,0,2010,2009-12-01,False
2,240.0,240.0,41.0,94.0,0.436,6.0,26.0,0.231,19.0,24.0,0.792,10.0,23.0,33.0,15.0,7.0,6.0,14.0,24.0,107.0,,0.512,0.468,0.277,0.255,20.4,56.1,36.7,36.6,6.7,7.4,11.8,100.0,102.6,129.4,,,12.0,20.0,0.6,2.0,7.0,0.5,6.0,8.0,1.0,3.0,6.0,7.0,6.0,2.0,2.0,5.0,5.0,27.0,-8.0,0.66,0.65,0.429,0.833,11.2,23.5,14.3,19.5,2.3,4.0,23.2,33.4,123.0,137.0,GSW,107,0,1,240.0,240.0,52.0,95.0,0.547,3.0,14.0,0.214,28.0,32.0,0.875,18.0,39.0,57.0,30.0,5.0,9.0,15.0,24.0,135.0,,0.619,0.563,0.147,0.337,43.9,79.6,63.3,57.7,4.8,13.2,12.1,100.0,129.4,102.6,,,10.0,19.0,0.833,1.0,6.0,1.0,11.0,11.0,1.0,4.0,8.0,12.0,8.0,2.0,5.0,5.0,4.0,25.0,23.0,0.81,0.833,0.545,1.0,52.4,87.7,71.6,63.6,3.0,16.6,29.4,43.3,177.0,111.0,DEN,135,1,2010,2009-12-01,False
3,240.0,240.0,52.0,95.0,0.547,3.0,14.0,0.214,28.0,32.0,0.875,18.0,39.0,57.0,30.0,5.0,9.0,15.0,24.0,135.0,,0.619,0.563,0.147,0.337,43.9,79.6,63.3,57.7,4.8,13.2,12.1,100.0,129.4,102.6,,,10.0,19.0,0.833,1.0,6.0,1.0,11.0,11.0,1.0,4.0,8.0,12.0,8.0,2.0,5.0,5.0,4.0,25.0,23.0,0.81,0.833,0.545,1.0,52.4,87.7,71.6,63.6,3.0,16.6,29.4,43.3,177.0,111.0,DEN,135,1,0,240.0,240.0,41.0,94.0,0.436,6.0,26.0,0.231,19.0,24.0,0.792,10.0,23.0,33.0,15.0,7.0,6.0,14.0,24.0,107.0,,0.512,0.468,0.277,0.255,20.4,56.1,36.7,36.6,6.7,7.4,11.8,100.0,102.6,129.4,,,12.0,20.0,0.6,2.0,7.0,0.5,6.0,8.0,1.0,3.0,6.0,7.0,6.0,2.0,2.0,5.0,5.0,27.0,-8.0,0.66,0.65,0.429,0.833,11.2,23.5,14.3,19.5,2.3,4.0,23.2,33.4,123.0,137.0,GSW,107,0,2010,2009-12-01,True
4,240.0,240.0,41.0,86.0,0.477,4.0,21.0,0.19,13.0,15.0,0.867,8.0,30.0,38.0,27.0,10.0,1.0,15.0,26.0,99.0,,0.535,0.5,0.244,0.174,20.0,93.8,52.8,65.9,10.1,2.0,13.9,100.0,100.4,111.5,,,7.0,14.0,0.75,2.0,5.0,0.5,4.0,4.0,1.0,3.0,10.0,12.0,8.0,2.0,1.0,4.0,6.0,20.0,12.0,0.751,0.75,0.5,0.667,28.1,46.8,31.3,40.9,5.6,3.2,34.0,28.3,156.0,117.0,NOH,99,0,1,240.0,240.0,38.0,73.0,0.521,6.0,22.0,0.273,28.0,33.0,0.848,2.0,32.0,34.0,26.0,11.0,4.0,16.0,14.0,110.0,,0.628,0.562,0.301,0.452,6.3,80.0,47.2,68.4,11.2,6.2,15.5,100.0,111.5,100.4,,,9.0,11.0,0.9,2.0,5.0,0.667,8.0,9.0,1.0,1.0,9.0,9.0,7.0,5.0,1.0,3.0,3.0,21.0,20.0,0.901,0.9,0.6,1.5,13.9,39.2,21.8,40.9,10.1,3.2,33.3,33.8,161.0,110.0,LAL,110,1,2010,2009-12-01,False
5,240.0,240.0,38.0,73.0,0.521,6.0,22.0,0.273,28.0,33.0,0.848,2.0,32.0,34.0,26.0,11.0,4.0,16.0,14.0,110.0,,0.628,0.562,0.301,0.452,6.3,80.0,47.2,68.4,11.2,6.2,15.5,100.0,111.5,100.4,,,9.0,11.0,0.9,2.0,5.0,0.667,8.0,9.0,1.0,1.0,9.0,9.0,7.0,5.0,1.0,3.0,3.0,21.0,20.0,0.901,0.9,0.6,1.5,13.9,39.2,21.8,40.9,10.1,3.2,33.3,33.8,161.0,110.0,LAL,110,1,0,240.0,240.0,41.0,86.0,0.477,4.0,21.0,0.19,13.0,15.0,0.867,8.0,30.0,38.0,27.0,10.0,1.0,15.0,26.0,99.0,,0.535,0.5,0.244,0.174,20.0,93.8,52.8,65.9,10.1,2.0,13.9,100.0,100.4,111.5,,,7.0,14.0,0.75,2.0,5.0,0.5,4.0,4.0,1.0,3.0,10.0,12.0,8.0,2.0,1.0,4.0,6.0,20.0,12.0,0.751,0.75,0.5,0.667,28.1,46.8,31.3,40.9,5.6,3.2,34.0,28.3,156.0,117.0,NOH,99,0,2010,2009-12-01,True
6,240.0,240.0,35.0,77.0,0.455,4.0,17.0,0.235,25.0,32.0,0.781,12.0,28.0,40.0,18.0,4.0,4.0,17.0,20.0,99.0,,0.543,0.481,0.221,0.416,27.9,59.6,44.4,51.4,4.2,6.3,15.7,100.0,104.6,133.1,,,8.0,16.0,1.0,1.0,5.0,1.0,6.0,8.0,1.0,3.0,5.0,7.0,8.0,2.0,1.0,5.0,4.0,20.0,-2.0,0.902,1.0,0.833,1.143,27.9,22.9,22.2,54.5,4.3,3.2,34.2,42.6,185.0,141.0,PHO,99,0,1,240.0,240.0,47.0,95.0,0.495,14.0,31.0,0.452,18.0,27.0,0.667,19.0,31.0,50.0,31.0,12.0,7.0,10.0,24.0,126.0,,0.589,0.568,0.326,0.284,40.4,72.1,55.6,66.0,12.7,11.7,8.6,100.0,133.1,104.6,,,10.0,19.0,1.0,6.0,12.0,1.0,5.0,7.0,1.0,5.0,9.0,10.0,12.0,4.0,4.0,2.0,4.0,27.0,30.0,1.5,1.5,1.0,0.667,19.9,34.5,24.7,39.8,6.2,12.5,50.0,44.5,165.0,116.0,NYK,126,1,2010,2009-12-01,False
7,240.0,240.0,47.0,95.0,0.495,14.0,31.0,0.452,18.0,27.0,0.667,19.0,31.0,50.0,31.0,12.0,7.0,10.0,24.0,126.0,,0.589,0.568,0.326,0.284,40.4,72.1,55.6,66.0,12.7,11.7,8.6,100.0,133.1,104.6,,,10.0,19.0,1.0,6.0,12.0,1.0,5.0,7.0,1.0,5.0,9.0,10.0,12.0,4.0,4.0,2.0,4.0,27.0,30.0,1.5,1.5,1.0,0.667,19.9,34.5,24.7,39.8,6.2,12.5,50.0,44.5,165.0,116.0,NYK,126,1,0,240.0,240.0,35.0,77.0,0.455,4.0,17.0,0.235,25.0,32.0,0.781,12.0,28.0,40.0,18.0,4.0,4.0,17.0,20.0,99.0,,0.543,0.481,0.221,0.416,27.9,59.6,44.4,51.4,4.2,6.3,15.7,100.0,104.6,133.1,,,8.0,16.0,1.0,1.0,5.0,1.0,6.0,8.0,1.0,3.0,5.0,7.0,8.0,2.0,1.0,5.0,4.0,20.0,-2.0,0.902,1.0,0.833,1.143,27.9,22.9,22.2,54.5,4.3,3.2,34.2,42.6,185.0,141.0,PHO,99,0,2010,2009-12-01,True
8,240.0,240.0,40.0,75.0,0.533,7.0,17.0,0.412,20.0,27.0,0.741,6.0,28.0,34.0,24.0,5.0,5.0,9.0,25.0,107.0,,0.616,0.58,0.227,0.36,17.6,57.1,41.0,60.0,5.7,7.5,9.4,100.0,122.5,114.5,,,9.0,18.0,1.0,4.0,10.0,0.667,11.0,12.0,1.0,3.0,9.0,9.0,12.0,1.0,1.0,3.0,5.0,27.0,10.0,1.0,1.0,1.0,1.0,11.3,22.1,13.0,53.9,6.8,6.8,25.8,32.1,200.0,125.0,MIA,107,0,1,240.0,240.0,34.0,87.0,0.391,8.0,20.0,0.4,24.0,32.0,0.75,21.0,28.0,49.0,20.0,5.0,4.0,11.0,23.0,100.0,,0.495,0.437,0.23,0.368,42.9,82.4,59.0,58.8,5.7,6.9,9.8,100.0,114.5,122.5,,,9.0,25.0,1.0,3.0,8.0,0.6,10.0,12.0,1.0,11.0,9.0,20.0,6.0,2.0,4.0,3.0,5.0,25.0,4.0,1.0,1.0,0.833,1.333,35.8,42.3,38.5,32.3,4.5,11.0,100.0,30.5,200.0,127.0,POR,100,1,2010,2009-12-01,True
9,240.0,240.0,34.0,87.0,0.391,8.0,20.0,0.4,24.0,32.0,0.75,21.0,28.0,49.0,20.0,5.0,4.0,11.0,23.0,100.0,,0.495,0.437,0.23,0.368,42.9,82.4,59.0,58.8,5.7,6.9,9.8,100.0,114.5,122.5,,,9.0,25.0,1.0,3.0,8.0,0.6,10.0,12.0,1.0,11.0,9.0,20.0,6.0,2.0,4.0,3.0,5.0,25.0,4.0,1.0,1.0,0.833,1.333,35.8,42.3,38.5,32.3,4.5,11.0,100.0,30.5,200.0,127.0,POR,100,1,0,240.0,240.0,40.0,75.0,0.533,7.0,17.0,0.412,20.0,27.0,0.741,6.0,28.0,34.0,24.0,5.0,5.0,9.0,25.0,107.0,,0.616,0.58,0.227,0.36,17.6,57.1,41.0,60.0,5.7,7.5,9.4,100.0,122.5,114.5,,,9.0,18.0,1.0,4.0,10.0,0.667,11.0,12.0,1.0,3.0,9.0,9.0,12.0,1.0,1.0,3.0,5.0,27.0,10.0,1.0,1.0,1.0,1.0,11.3,22.1,13.0,53.9,6.8,6.8,25.8,32.1,200.0,125.0,MIA,107,0,2010,2009-12-01,False
10,240.0,240.0,40.0,84.0,0.476,6.0,18.0,0.333,20.0,32.0,0.625,11.0,32.0,43.0,20.0,10.0,6.0,10.0,21.0,106.0,,0.54,0.512,0.214,0.381,22.9,71.1,46.2,50.0,10.4,9.5,9.3,100.0,110.4,106.3,,,12.0,22.0,0.7,3.0,7.0,0.5,6.0,8.0,1.0,7.0,12.0,12.0,9.0,3.0,3.0,3.0,5.0,30.0,17.0,0.694,0.7,0.5,1.0,19.8,29.7,19.2,35.8,8.4,6.5,33.3,28.4,215.0,116.0,WAS,106,0,1,240.0,240.0,36.0,84.0,0.429,8.0,21.0,0.381,22.0,27.0,0.815,13.0,37.0,50.0,19.0,2.0,3.0,16.0,27.0,102.0,,0.532,0.476,0.25,0.321,28.9,77.1,53.8,52.8,2.1,4.5,14.3,100.0,106.3,110.4,,,9.0,22.0,0.75,2.0,8.0,1.0,8.0,9.0,1.0,4.0,11.0,14.0,6.0,2.0,1.0,4.0,5.0,22.0,14.0,0.776,0.792,1.0,2.0,20.7,27.5,18.1,26.7,5.3,4.6,50.0,31.0,165.0,116.0,TOR,102,1,2010,2009-12-01,True
11,240.0,240.0,36.0,84.0,0.429,8.0,21.0,0.381,22.0,27.0,0.815,13.0,37.0,50.0,19.0,2.0,3.0,16.0,27.0,102.0,,0.532,0.476,0.25,0.321,28.9,77.1,53.8,52.8,2.1,4.5,14.3,100.0,106.3,110.4,,,9.0,22.0,0.75,2.0,8.0,1.0,8.0,9.0,1.0,4.0,11.0,14.0,6.0,2.0,1.0,4.0,5.0,22.0,14.0,0.776,0.792,1.0,2.0,20.7,27.5,18.1,26.7,5.3,4.6,50.0,31.0,165.0,116.0,TOR,102,1,0,240.0,240.0,40.0,84.0,0.476,6.0,18.0,0.333,20.0,32.0,0.625,11.0,32.0,43.0,20.0,10.0,6.0,10.0,21.0,106.0,,0.54,0.512,0.214,0.381,22.9,71.1,46.2,50.0,10.4,9.5,9.3,100.0,110.4,106.3,,,12.0,22.0,0.7,3.0,7.0,0.5,6.0,8.0,1.0,7.0,12.0,12.0,9.0,3.0,3.0,3.0,5.0,30.0,17.0,0.694,0.7,0.5,1.0,19.8,29.7,19.2,35.8,8.4,6.5,33.3,28.4,215.0,116.0,WAS,106,0,2010,2009-12-01,False
12,240.0,240.0,42.0,82.0,0.512,10.0,16.0,0.625,21.0,34.0,0.618,8.0,21.0,29.0,25.0,5.0,3.0,9.0,24.0,115.0,,0.593,0.573,0.195,0.415,18.2,58.3,36.3,59.5,5.2,4.5,8.5,100.0,118.9,151.0,,,8.0,14.0,0.75,3.0,5.0,1.0,9.0,12.0,1.0,3.0,4.0,7.0,8.0,2.0,1.0,3.0,5.0,21.0,-4.0,0.945,0.917,0.667,2.0,17.5,33.7,22.4,48.9,4.0,7.6,27.6,28.9,188.0,157.0,TOR,115,0,1,240.0,240.0,52.0,88.0,0.591,11.0,21.0,0.524,31.0,39.0,0.795,15.0,36.0,51.0,37.0,5.0,6.0,9.0,26.0,146.0,,0.694,0.653,0.239,0.443,41.7,81.8,63.8,71.2,5.2,9.1,7.9,100.0,151.0,118.9,,,10.0,12.0,1.0,4.0,5.0,1.0,6.0,7.0,1.0,5.0,6.0,8.0,11.0,1.0,4.0,2.0,4.0,24.0,23.0,1.351,1.5,1.0,1.0,37.5,59.0,40.5,47.3,3.5,13.9,33.3,33.4,235.0,125.0,ATL,146,1,2010,2009-12-02,False
13,240.0,240.0,52.0,88.0,0.591,11.0,21.0,0.524,31.0,39.0,0.795,15.0,36.0,51.0,37.0,5.0,6.0,9.0,26.0,146.0,,0.694,0.653,0.239,0.443,41.7,81.8,63.8,71.2,5.2,9.1,7.9,100.0,151.0,118.9,,,10.0,12.0,1.0,4.0,5.0,1.0,6.0,7.0,1.0,5.0,6.0,8.0,11.0,1.0,4.0,2.0,4.0,24.0,23.0,1.351,1.5,1.0,1.0,37.5,59.0,40.5,47.3,3.5,13.9,33.3,33.4,235.0,125.0,ATL,146,1,0,240.0,240.0,42.0,82.0,0.512,10.0,16.0,0.625,21.0,34.0,0.618,8.0,21.0,29.0,25.0,5.0,3.0,9.0,24.0,115.0,,0.593,0.573,0.195,0.415,18.2,58.3,36.3,59.5,5.2,4.5,8.5,100.0,118.9,151.0,,,8.0,14.0,0.75,3.0,5.0,1.0,9.0,12.0,1.0,3.0,4.0,7.0,8.0,2.0,1.0,3.0,5.0,21.0,-4.0,0.945,0.917,0.667,2.0,17.5,33.7,22.4,48.9,4.0,7.6,27.6,28.9,188.0,157.0,TOR,115,0,2010,2009-12-02,True
14,240.0,240.0,30.0,78.0,0.385,4.0,16.0,0.25,21.0,31.0,0.677,17.0,23.0,40.0,17.0,9.0,1.0,15.0,28.0,85.0,,0.464,0.41,0.205,0.397,37.0,65.7,49.4,56.7,10.5,1.7,14.1,100.0,99.3,107.5,,,6.0,16.0,0.8,2.0,8.0,0.5,9.0,11.0,1.0,4.0,6.0,9.0,7.0,2.0,1.0,4.0,5.0,18.0,9.0,0.765,0.8,0.667,1.333,27.2,23.1,23.1,41.4,4.1,5.4,21.2,31.3,162.0,116.0,DET,85,0,1,240.0,240.0,33.0,69.0,0.478,4.0,9.0,0.444,22.0,30.0,0.733,12.0,29.0,41.0,24.0,6.0,6.0,17.0,27.0,92.0,,0.56,0.507,0.13,0.435,34.3,63.0,50.6,72.7,7.0,9.7,17.1,100.0,107.5,99.3,,,7.0,15.0,0.667,3.0,4.0,0.75,7.0,9.0,1.0,4.0,11.0,14.0,6.0,2.0,3.0,5.0,6.0,22.0,14.0,0.751,0.708,0.5,1.0,14.0,25.0,18.1,40.5,2.9,5.1,27.8,26.8,127.0,108.0,CHI,92,1,2010,2009-12-02,False
15,240.0,240.0,33.0,69.0,0.478,4.0,9.0,0.444,22.0,30.0,0.733,12.0,29.0,41.0,24.0,6.0,6.0,17.0,27.0,92.0,,0.56,0.507,0.13,0.435,34.3,63.0,50.6,72.7,7.0,9.7,17.1,100.0,107.5,99.3,,,7.0,15.0,0.667,3.0,4.0,0.75,7.0,9.0,1.0,4.0,11.0,14.0,6.0,2.0,3.0,5.0,6.0,22.0,14.0,0.751,0.708,0.5,1.0,14.0,25.0,18.1,40.5,2.9,5.1,27.8,26.8,127.0,108.0,CHI,92,1,0,240.0,240.0,30.0,78.0,0.385,4.0,16.0,0.25,21.0,31.0,0.677,17.0,23.0,40.0,17.0,9.0,1.0,15.0,28.0,85.0,,0.464,0.41,0.205,0.397,37.0,65.7,49.4,56.7,10.5,1.7,14.1,100.0,99.3,107.5,,,6.0,16.0,0.8,2.0,8.0,0.5,9.0,11.0,1.0,4.0,6.0,9.0,7.0,2.0,1.0,4.0,5.0,18.0,9.0,0.765,0.8,0.667,1.333,27.2,23.1,23.1,41.4,4.1,5.4,21.2,31.3,162.0,116.0,DET,85,0,2010,2009-12-02,True
16,240.0,240.0,32.0,80.0,0.4,10.0,23.0,0.435,16.0,21.0,0.762,11.0,30.0,41.0,21.0,7.0,4.0,16.0,15.0,90.0,,0.504,0.463,0.288,0.263,23.4,66.7,44.6,65.6,7.6,5.6,15.2,100.0,97.5,115.9,,,9.0,17.0,0.833,4.0,9.0,1.0,4.0,5.0,1.0,3.0,9.0,12.0,5.0,2.0,1.0,6.0,3.0,22.0,-2.0,0.854,0.917,0.545,0.833,19.6,27.9,18.2,86.9,4.0,12.0,34.0,47.5,145.0,123.0,PHO,90,0,1,240.0,240.0,45.0,93.0,0.484,6.0,22.0,0.273,11.0,16.0,0.688,15.0,36.0,51.0,29.0,12.0,10.0,10.0,18.0,107.0,,0.535,0.516,0.237,0.172,33.3,76.6,55.4,64.4,13.0,17.5,9.1,100.0,115.9,97.5,,,6.0,15.0,0.857,2.0,8.0,0.667,2.0,5.0,1.0,5.0,7.0,9.0,10.0,4.0,3.0,3.0,3.0,14.0,19.0,0.825,0.857,0.714,0.5,20.7,32.0,22.8,100.0,63.7,100.0,20.2,30.1,213.0,112.0,CLE,107,1,2010,2009-12-02,False
17,240.0,240.0,45.0,93.0,0.484,6.0,22.0,0.273,11.0,16.0,0.688,15.0,36.0,51.0,29.0,12.0,10.0,10.0,18.0,107.0,,0.535,0.516,0.237,0.172,33.3,76.6,55.4,64.4,13.0,17.5,9.1,100.0,115.9,97.5,,,6.0,15.0,0.857,2.0,8.0,0.667,2.0,5.0,1.0,5.0,7.0,9.0,10.0,4.0,3.0,3.0,3.0,14.0,19.0,0.825,0.857,0.714,0.5,20.7,32.0,22.8,100.0,63.7,100.0,20.2,30.1,213.0,112.0,CLE,107,1,0,240.0,240.0,32.0,80.0,0.4,10.0,23.0,0.435,16.0,21.0,0.762,11.0,30.0,41.0,21.0,7.0,4.0,16.0,15.0,90.0,,0.504,0.463,0.288,0.263,23.4,66.7,44.6,65.6,7.6,5.6,15.2,100.0,97.5,115.9,,,9.0,17.0,0.833,4.0,9.0,1.0,4.0,5.0,1.0,3.0,9.0,12.0,5.0,2.0,1.0,6.0,3.0,22.0,-2.0,0.854,0.917,0.545,0.833,19.6,27.9,18.2,86.9,4.0,12.0,34.0,47.5,145.0,123.0,PHO,90,0,2010,2009-12-02,True
18,240.0,240.0,38.0,75.0,0.507,12.0,23.0,0.522,14.0,17.0,0.824,11.0,27.0,38.0,20.0,4.0,0.0,18.0,18.0,102.0,,0.618,0.587,0.307,0.227,29.7,73.0,51.4,52.6,4.6,0.0,17.9,100.0,117.4,97.8,,,9.0,16.0,0.818,3.0,6.0,0.75,4.0,5.0,1.0,3.0,6.0,7.0,5.0,1.0,0.0,6.0,4.0,22.0,18.0,0.962,0.955,0.667,1.0,19.2,28.0,17.5,30.2,2.4,0.0,34.4,25.8,147.0,103.0,HOU,102,0,1,240.0,240.0,34.0,75.0,0.453,1.0,14.0,0.071,16.0,19.0,0.842,10.0,26.0,36.0,18.0,12.0,2.0,15.0,16.0,85.0,,0.51,0.46,0.187,0.253,27.0,70.3,48.6,52.9,13.8,3.8,15.3,100.0,97.8,117.4,,,8.0,17.0,0.8,1.0,7.0,0.143,7.0,8.0,1.0,7.0,12.0,19.0,6.0,5.0,1.0,5.0,4.0,20.0,-4.0,0.8,0.8,0.5,0.667,23.3,39.9,31.6,32.7,8.9,2.5,100.0,30.6,159.0,128.0,LAC,85,1,2010,2009-12-02,True
19,240.0,240.0,34.0,75.0,0.453,1.0,14.0,0.071,16.0,19.0,0.842,10.0,26.0,36.0,18.0,12.0,2.0,15.0,16.0,85.0,,0.51,0.46,0.187,0.253,27.0,70.3,48.6,52.9,13.8,3.8,15.3,100.0,97.8,117.4,,,8.0,17.0,0.8,1.0,7.0,0.143,7.0,8.0,1.0,7.0,12.0,19.0,6.0,5.0,1.0,5.0,4.0,20.0,-4.0,0.8,0.8,0.5,0.667,23.3,39.9,31.6,32.7,8.9,2.5,100.0,30.6,159.0,128.0,LAC,85,1,0,240.0,240.0,38.0,75.0,0.507,12.0,23.0,0.522,14.0,17.0,0.824,11.0,27.0,38.0,20.0,4.0,0.0,18.0,18.0,102.0,,0.618,0.587,0.307,0.227,29.7,73.0,51.4,52.6,4.6,0.0,17.9,100.0,117.4,97.8,,,9.0,16.0,0.818,3.0,6.0,0.75,4.0,5.0,1.0,3.0,6.0,7.0,5.0,1.0,0.0,6.0,4.0,22.0,18.0,0.962,0.955,0.667,1.0,19.2,28.0,17.5,30.2,2.4,0.0,34.4,25.8,147.0,103.0,HOU,102,0,2010,2009-12-02,False
20,240.0,240.0,34.0,75.0,0.453,6.0,17.0,0.353,23.0,32.0,0.719,7.0,27.0,34.0,18.0,13.0,4.0,9.0,18.0,97.0,,0.544,0.493,0.227,0.427,17.9,79.4,46.6,52.9,14.5,6.3,9.2,100.0,108.5,106.3,,,8.0,17.0,0.667,4.0,7.0,0.571,7.0,9.0,0.8,3.0,7.0,10.0,4.0,2.0,1.0,4.0,4.0,20.0,7.0,0.833,0.833,1.0,2.0,9.9,47.9,22.3,29.0,7.4,8.5,66.7,29.8,164.0,112.0,MEM,97,0,1,240.0,240.0,37.0,74.0,0.5,4.0,10.0,0.4,17.0,25.0,0.68,7.0,32.0,39.0,21.0,6.0,3.0,14.0,28.0,95.0,,0.559,0.527,0.135,0.338,20.6,82.1,53.4,56.8,6.7,5.2,14.1,100.0,106.3,108.5,,,8.0,13.0,0.778,2.0,4.0,0.667,4.0,6.0,1.0,2.0,8.0,9.0,9.0,3.0,1.0,4.0,5.0,20.0,6.0,0.698,0.778,0.333,1.0,17.0,28.5,19.7,50.3,5.1,5.8,100.0,29.7,132.0,115.0,MIN,95,1,2010,2009-12-02,True
21,240.0,240.0,37.0,74.0,0.5,4.0,10.0,0.4,17.0,25.0,0.68,7.0,32.0,39.0,21.0,6.0,3.0,14.0,28.0,95.0,,0.559,0.527,0.135,0.338,20.6,82.1,53.4,56.8,6.7,5.2,14.1,100.0,106.3,108.5,,,8.0,13.0,0.778,2.0,4.0,0.667,4.0,6.0,1.0,2.0,8.0,9.0,9.0,3.0,1.0,4.0,5.0,20.0,6.0,0.698,0.778,0.333,1.0,17.0,28.5,19.7,50.3,5.1,5.8,100.0,29.7,132.0,115.0,MIN,95,1,0,240.0,240.0,34.0,75.0,0.453,6.0,17.0,0.353,23.0,32.0,0.719,7.0,27.0,34.0,18.0,13.0,4.0,9.0,18.0,97.0,,0.544,0.493,0.227,0.427,17.9,79.4,46.6,52.9,14.5,6.3,9.2,100.0,108.5,106.3,,,8.0,17.0,0.667,4.0,7.0,0.571,7.0,9.0,0.8,3.0,7.0,10.0,4.0,2.0,1.0,4.0,4.0,20.0,7.0,0.833,0.833,1.0,2.0,9.9,47.9,22.3,29.0,7.4,8.5,66.7,29.8,164.0,112.0,MEM,97,0,2010,2009-12-02,False
